Species	link.cis	link.trans	ng.cis	ng.trans	ratio.trans.cis	ratio.ng.trans.ng.cis	ratio.links.gene.cis	ratio.links.gene.trans
DERSIL	633	515	993	629	0.8135860979462876	0.6334340382678751	1.2749244712990937	1.6375198728139904
HAELON	136	22	237	44	0.16176470588235295	0.18565400843881857	1.1476793248945147	1.0
DYSSIL	68	68	51	73	1.0	1.4313725490196079	2.6666666666666665	1.8630136986301369
ECTDAV	43	265	74	438	6.162790697674419	5.918918918918919	1.162162162162162	1.2100456621004567
HYLGRA	2219	7139	3110	1878	3.2172149616944568	0.6038585209003215	1.4270096463022508	7.602768903088392
ULODIV	782	976	885	889	1.248081841432225	1.0045197740112994	1.767231638418079	2.1957255343082114
OEDGIB	77	91	128	77	1.1818181818181819	0.6015625	1.203125	2.3636363636363638
LATELE	997	4508	1094	1709	4.5215646940822465	1.5621572212065813	1.8226691042047531	5.275599765944997
PARTEP	84	104	153	177	1.2380952380952381	1.1568627450980393	1.0980392156862746	1.1751412429378532
ARGBRU	578	1640	804	884	2.837370242214533	1.099502487562189	1.4378109452736318	3.7104072398190047
TRIANT	91	716	165	604	7.868131868131868	3.6606060606060606	1.103030303030303	2.370860927152318
TRICLA	4370	22301	3462	5037	5.103203661327231	1.4549393414211438	2.5245522819179667	8.854873932896565
CARROT	358	5137	690	7322	14.349162011173185	10.611594202898551	1.03768115942029	1.4031685331876536
TACGIG	1284	5573	1978	7923	4.340342679127726	4.005561172901921	1.2982810920121335	1.4067903571879339

