Species	Genome.size	GC.level	bases.masked	Retroelements	DNA.transposons	Rolling-circles	Unclassified	Small.RNA	Simple.repeats	Low.complexity
DERSIL	2384831629	46.91	62.55	31.28	2.54	0.18	27.33	0.79	1.08	0.07
HAELON	2308350835	47.38	59.51	30.21	2.16	0.39	25.31	0.28	1.09	0.06
DYSSIL	1205646672	34.89	57.74	9.70	16.83	0.07	29.84	0.24	0.97	0.15
ECTDAV	2112291206	36.04	65.36	21.24	8.18	0.94	33.80	2.99	0.93	0.08
HYLGRA	931684121	32.51	49.57	15.71	6.41	0.47	24.81	1.82	0.70	0.17
ULODIV	1954406629	33.44	65.80	14.20	11.71	4.54	34.07	0.45	1.11	0.16
OEDGIB	569898800	31.87	47.23	7.82	4.08	1.16	32.65	0.91	0.92	0.19
PARTEP	1115841523	29.31	42.92	5.93	7.60	0.52	27.11	1.01	1.28	0.36
LATELE	1543406361	27.84	33.04	9.87	10.33	0.08	9.52	0.85	2.78	0.45
ARGBRU	1777230186	29.48	40.95	5.82	6.17	0.42	26.54	0.14	1.50	0.32
TRIANT	2265738341	31.72	58.10	14.66	19.39	2.02	20.35	0.71	1.17	0.19
TRICLA	2629098020	31.87	60.29	17.03	20.77	1.96	19.15	0.79	0.85	0.17
CARROT	1626860889	33.60	41.83	17.91	9.44	0.09	12.82	4.66	0.44	0.10
TACGIG	1807259406	33.41	35.01	10.61	5.72	0.20	14.12	3.86	0.51	0.10
